cust_id,customer_gender,age_group,customer_country,referral_type,transaction_type,transaction_date,subscription_type,transaction_year,subscription_price
96,Other,55-65,Norway,,INITIAL,2021-05-01,MAX,2021,109.0
96,Other,55-65,Norway,,REDUCTION,2022-10-01,PRO,2022,85.0
97,Other,45-54,Sweden,,INITIAL,2022-05-01,MAX,2022,119.0
98,Male,18-24,Denmark,,INITIAL,2022-01-01,BASIC,2022,53.0
99,Other,35-44,Sweden,,INITIAL,2022-06-01,MAX,2022,119.0
100,Male,25-34,Norway,Paid Search,INITIAL,2022-08-01,BASIC,2022,53.0
101,Female,45-54,Norway,,INITIAL,2021-12-01,BASIC,2021,43.0
101,Female,45-54,Norway,,UPGRADE,2022-08-01,PRO,2022,85.0
102,Male,18-24,Sweden,,INITIAL,2022-12-01,PRO,2022,85.0
103,Male,55-65,Finland,,INITIAL,2022-11-01,PRO,2022,85.0
104,Other,18-24,Sweden,,INITIAL,2021-06-01,MAX,2021,109.0
104,Other,18-24,Sweden,,REDUCTION,2021-09-01,BASIC,2021,43.0
104,Other,18-24,Sweden,,CHURN,2022-08-01,BASIC,2022,53.0
105,Male,18-24,Denmark,Paid Search,INITIAL,2020-09-01,PRO,2020,65.0
105,Male,18-24,Denmark,Paid Search,UPGRADE,2022-07-01,MAX,2022,119.0
106,Other,55-65,Denmark,Display,INITIAL,2020-12-01,MAX,2020,99.0
106,Other,55-65,Denmark,Display,REDUCTION,2021-08-01,PRO,2021,75.0
106,Other,55-65,Denmark,Display,CHURN,2022-06-01,PRO,2022,85.0
107,Female,55-65,Norway,facebook,INITIAL,2021-11-01,MAX,2021,109.0
107,Female,55-65,Norway,facebook,REDUCTION,2022-07-01,PRO,2022,85.0
108,Other,45-54,Finland,,INITIAL,2020-11-01,BASIC,2020,33.0
108,Other,45-54,Finland,,UPGRADE,2022-11-01,PRO,2022,85.0
109,Male,55-65,Finland,,INITIAL,2020-04-01,PRO,2020,65.0
109,Male,55-65,Finland,,UPGRADE,2020-10-01,MAX,2020,99.0
109,Male,55-65,Finland,,CHURN,2020-07-01,PRO,2020,65.0
109,Male,55-65,Finland,,CHURN,2020-08-01,PRO,2020,65.0
109,Male,55-65,Finland,,CHURN,2021-10-01,MAX,2021,109.0
110,Female,18-24,Norway,,INITIAL,2022-11-01,BASIC,2022,53.0
111,Female,18-24,Denmark,,INITIAL,2020-01-01,PRO,2020,65.0
111,Female,18-24,Denmark,,UPGRADE,2022-04-01,MAX,2022,119.0
111,Female,18-24,Denmark,,CHURN,2022-08-01,MAX,2022,119.0
112,Other,25-34,Sweden,Paid Search,INITIAL,2021-06-01,BASIC,2021,43.0
112,Other,25-34,Sweden,Paid Search,UPGRADE,2022-08-01,MAX,2022,119.0
113,Other,45-54,Finland,,INITIAL,2021-10-01,MAX,2021,109.0
113,Other,45-54,Finland,,CHURN,2022-11-01,MAX,2022,119.0
114,Male,55-65,Denmark,,INITIAL,2021-01-01,PRO,2021,75.0
114,Male,55-65,Denmark,,REDUCTION,2022-08-01,BASIC,2022,53.0
115,Female,45-54,Finland,,INITIAL,2021-11-01,BASIC,2021,43.0
116,Other,25-34,Sweden,Paid Search,INITIAL,2020-07-01,PRO,2020,65.0
116,Other,25-34,Sweden,Paid Search,REDUCTION,2021-03-01,BASIC,2021,43.0
117,Female,25-34,Finland,,INITIAL,2021-11-01,PRO,2021,75.0
117,Female,25-34,Finland,,UPGRADE,2022-06-01,MAX,2022,119.0
117,Female,25-34,Finland,,CHURN,2022-07-01,PRO,2022,85.0
118,Male,25-34,Denmark,facebook,INITIAL,2020-10-01,BASIC,2020,33.0
118,Male,25-34,Denmark,facebook,UPGRADE,2022-05-01,MAX,2022,119.0
118,Male,25-34,Denmark,facebook,CHURN,2021-02-01,BASIC,2021,43.0
119,Female,55-65,Sweden,Google Ads,INITIAL,2022-01-01,BASIC,2022,53.0
119,Female,55-65,Sweden,Google Ads,CHURN,2022-10-01,BASIC,2022,53.0
120,Other,18-24,Sweden,,INITIAL,2020-09-01,BASIC,2020,33.0
120,Other,18-24,Sweden,,UPGRADE,2021-10-01,PRO,2021,75.0
120,Other,18-24,Sweden,,CHURN,2021-03-01,BASIC,2021,43.0
120,Other,18-24,Sweden,,CHURN,2021-09-01,BASIC,2021,43.0
121,Male,35-44,Finland,Paid Search,INITIAL,2020-10-01,PRO,2020,65.0
121,Male,35-44,Finland,Paid Search,REDUCTION,2021-09-01,BASIC,2021,43.0
121,Male,35-44,Finland,Paid Search,CHURN,2022-07-01,BASIC,2022,53.0
122,Other,25-34,Sweden,,INITIAL,2020-10-01,MAX,2020,99.0
122,Other,25-34,Sweden,,REDUCTION,2021-12-01,PRO,2021,75.0
123,Male,55-65,Sweden,Paid Search,INITIAL,2020-10-01,BASIC,2020,33.0
123,Male,55-65,Sweden,Paid Search,UPGRADE,2021-04-01,MAX,2021,109.0
124,Female,25-34,Denmark,facebook,INITIAL,2020-03-01,MAX,2020,99.0
124,Female,25-34,Denmark,facebook,REDUCTION,2021-10-01,BASIC,2021,43.0
124,Female,25-34,Denmark,facebook,CHURN,2022-02-01,BASIC,2022,53.0
125,Female,35-44,Finland,Organic Search,INITIAL,2021-01-01,PRO,2021,75.0
125,Female,35-44,Finland,Organic Search,UPGRADE,2022-08-01,MAX,2022,119.0
126,Female,35-44,Norway,Google Ads,INITIAL,2022-12-01,MAX,2022,119.0
127,Other,25-34,Denmark,Paid Search,INITIAL,2020-07-01,MAX,2020,99.0
127,Other,25-34,Denmark,Paid Search,REDUCTION,2022-02-01,BASIC,2022,53.0
128,Other,35-44,Denmark,,INITIAL,2021-09-01,BASIC,2021,43.0
128,Other,35-44,Denmark,,UPGRADE,2021-12-01,PRO,2021,75.0
128,Other,35-44,Denmark,,CHURN,2022-06-01,BASIC,2022,53.0
128,Other,35-44,Denmark,,CHURN,2022-09-01,BASIC,2022,53.0
128,Other,35-44,Denmark,,CHURN,2022-04-01,PRO,2022,85.0
129,Male,25-34,Sweden,Paid Search,INITIAL,2021-02-01,PRO,2021,75.0
129,Male,25-34,Sweden,Paid Search,REDUCTION,2022-05-01,BASIC,2022,53.0
130,Male,55-65,Norway,Bing,INITIAL,2020-09-01,BASIC,2020,33.0
130,Male,55-65,Norway,Bing,UPGRADE,2022-11-01,PRO,2022,85.0
130,Male,55-65,Norway,Bing,CHURN,2021-02-01,BASIC,2021,43.0
131,Female,45-54,Sweden,Organic Search,INITIAL,2022-09-01,BASIC,2022,53.0
132,Male,55-65,Sweden,,INITIAL,2020-04-01,BASIC,2020,33.0
132,Male,55-65,Sweden,,UPGRADE,2021-12-01,PRO,2021,75.0
132,Male,55-65,Sweden,,CHURN,2022-09-01,PRO,2022,85.0
133,Male,45-54,Norway,Google Ads,INITIAL,2021-11-01,PRO,2021,75.0
133,Male,45-54,Norway,Google Ads,UPGRADE,2022-07-01,MAX,2022,119.0
134,Female,25-34,Sweden,Paid Search,INITIAL,2022-02-01,BASIC,2022,53.0
134,Female,25-34,Sweden,Paid Search,CHURN,2022-09-01,BASIC,2022,53.0
135,Male,18-24,Norway,Google Ads,INITIAL,2022-12-01,BASIC,2022,53.0
136,Female,18-24,Norway,,INITIAL,2021-02-01,BASIC,2021,43.0
136,Female,18-24,Norway,,CHURN,2021-12-01,BASIC,2021,43.0
137,Other,35-44,Norway,,INITIAL,2021-05-01,MAX,2021,109.0
137,Other,35-44,Norway,,REDUCTION,2022-08-01,PRO,2022,85.0
138,Other,25-34,Sweden,,INITIAL,2020-09-01,MAX,2020,99.0
138,Other,25-34,Sweden,,REDUCTION,2021-06-01,BASIC,2021,43.0
139,Other,35-44,Finland,,INITIAL,2020-11-01,MAX,2020,99.0
139,Other,35-44,Finland,,REDUCTION,2021-12-01,PRO,2021,75.0
140,Male,45-54,Sweden,,INITIAL,2021-11-01,PRO,2021,75.0
141,Male,45-54,Sweden,facebook,INITIAL,2022-03-01,PRO,2022,85.0
141,Male,45-54,Sweden,facebook,REDUCTION,2022-07-01,BASIC,2022,53.0
142,Male,35-44,Finland,Organic Search,INITIAL,2022-08-01,BASIC,2022,53.0
143,Female,55-65,Norway,,INITIAL,2022-03-01,BASIC,2022,53.0
144,Female,55-65,Norway,facebook,INITIAL,2022-07-01,MAX,2022,119.0
145,Other,35-44,Sweden,,INITIAL,2021-07-01,PRO,2021,75.0
145,Other,35-44,Sweden,,UPGRADE,2022-11-01,MAX,2022,119.0
146,Other,55-65,Denmark,,INITIAL,2022-11-01,MAX,2022,119.0
147,Female,45-54,Finland,facebook,INITIAL,2020-06-01,BASIC,2020,33.0
147,Female,45-54,Finland,facebook,UPGRADE,2021-01-01,PRO,2021,75.0
147,Female,45-54,Finland,facebook,CHURN,2021-03-01,BASIC,2021,43.0
148,Female,35-44,Norway,,INITIAL,2021-10-01,BASIC,2021,43.0
149,Male,55-65,Sweden,,INITIAL,2020-11-01,PRO,2020,65.0
149,Male,55-65,Sweden,,REDUCTION,2021-01-01,BASIC,2021,43.0
150,Female,35-44,Denmark,Paid Search,INITIAL,2020-08-01,PRO,2020,65.0
150,Female,35-44,Denmark,Paid Search,UPGRADE,2022-01-01,MAX,2022,119.0
150,Female,35-44,Denmark,Paid Search,CHURN,2021-05-01,PRO,2021,75.0
151,Male,18-24,Sweden,Display,INITIAL,2020-10-01,PRO,2020,65.0
151,Male,18-24,Sweden,Display,UPGRADE,2021-11-01,MAX,2021,109.0
151,Male,18-24,Sweden,Display,CHURN,2021-01-01,PRO,2021,75.0
152,Male,35-44,Sweden,TV,INITIAL,2020-01-01,PRO,2020,65.0
152,Male,35-44,Sweden,TV,UPGRADE,2022-10-01,MAX,2022,119.0
152,Male,35-44,Sweden,TV,CHURN,2020-04-01,PRO,2020,65.0
153,Other,25-34,Norway,,INITIAL,2020-11-01,BASIC,2020,33.0
153,Other,25-34,Norway,,UPGRADE,2022-01-01,MAX,2022,119.0
154,Female,35-44,Denmark,Organic Search,INITIAL,2020-04-01,PRO,2020,65.0
154,Female,35-44,Denmark,Organic Search,UPGRADE,2022-04-01,MAX,2022,119.0
155,Other,18-24,Norway,Bing,INITIAL,2021-10-01,BASIC,2021,43.0
155,Other,18-24,Norway,Bing,CHURN,2022-06-01,BASIC,2022,53.0
156,Other,25-34,Sweden,,INITIAL,2022-12-01,PRO,2022,85.0
157,Male,18-24,Sweden,,INITIAL,2022-09-01,BASIC,2022,53.0
158,Male,25-34,Norway,,INITIAL,2021-02-01,BASIC,2021,43.0
158,Male,25-34,Norway,,UPGRADE,2021-07-01,MAX,2021,109.0
158,Male,25-34,Norway,,CHURN,2021-06-01,BASIC,2021,43.0
159,Female,35-44,Sweden,,INITIAL,2020-02-01,PRO,2020,65.0
159,Female,35-44,Sweden,,UPGRADE,2021-07-01,MAX,2021,109.0
160,Other,25-34,Finland,facebook,INITIAL,2021-06-01,MAX,2021,109.0
160,Other,25-34,Finland,facebook,REDUCTION,2021-12-01,BASIC,2021,43.0
161,Male,18-24,Norway,,INITIAL,2020-09-01,PRO,2020,65.0
161,Male,18-24,Norway,,REDUCTION,2021-09-01,BASIC,2021,43.0
162,Other,55-65,Denmark,facebook,INITIAL,2022-07-01,MAX,2022,119.0
163,Male,35-44,Denmark,,INITIAL,2020-03-01,BASIC,2020,33.0
163,Male,35-44,Denmark,,UPGRADE,2020-08-01,MAX,2020,99.0
163,Male,35-44,Denmark,,CHURN,2021-06-01,MAX,2021,109.0
164,Female,55-65,Finland,,INITIAL,2021-03-01,PRO,2021,75.0
164,Female,55-65,Finland,,REDUCTION,2021-07-01,BASIC,2021,43.0
164,Female,55-65,Finland,,CHURN,2022-01-01,BASIC,2022,53.0
165,Male,18-24,Finland,Paid Search,INITIAL,2021-11-01,BASIC,2021,43.0
165,Male,18-24,Finland,Paid Search,UPGRADE,2022-06-01,MAX,2022,119.0
165,Male,18-24,Finland,Paid Search,CHURN,2022-09-01,MAX,2022,119.0
166,Male,18-24,Denmark,Google Ads,INITIAL,2022-01-01,PRO,2022,85.0
167,Female,18-24,Norway,TV,INITIAL,2021-06-01,PRO,2021,75.0
167,Female,18-24,Norway,TV,REDUCTION,2022-04-01,BASIC,2022,53.0
168,Other,25-34,Sweden,Paid Search,INITIAL,2021-03-01,MAX,2021,109.0
168,Other,25-34,Sweden,Paid Search,REDUCTION,2021-05-01,BASIC,2021,43.0
169,Other,45-54,Finland,Google Ads,INITIAL,2022-03-01,PRO,2022,85.0
170,Female,55-65,Finland,Organic Search,INITIAL,2022-06-01,PRO,2022,85.0
171,Female,25-34,Norway,,INITIAL,2022-09-01,PRO,2022,85.0
172,Male,18-24,Sweden,,INITIAL,2021-01-01,BASIC,2021,43.0
172,Male,18-24,Sweden,,UPGRADE,2022-01-01,MAX,2022,119.0
172,Male,18-24,Sweden,,CHURN,2022-02-01,BASIC,2022,53.0
173,Male,18-24,Sweden,Display,INITIAL,2021-03-01,PRO,2021,75.0
173,Male,18-24,Sweden,Display,REDUCTION,2022-08-01,BASIC,2022,53.0
174,Other,55-65,Denmark,Organic Search,INITIAL,2022-12-01,PRO,2022,85.0
175,Other,25-34,Sweden,,INITIAL,2020-04-01,MAX,2020,99.0
175,Other,25-34,Sweden,,REDUCTION,2021-04-01,BASIC,2021,43.0
176,Female,45-54,Sweden,Paid Search,INITIAL,2022-05-01,PRO,2022,85.0
176,Female,45-54,Sweden,Paid Search,UPGRADE,2022-11-01,MAX,2022,119.0
176,Female,45-54,Sweden,Paid Search,CHURN,2022-08-01,PRO,2022,85.0
177,Male,55-65,Norway,,INITIAL,2021-05-01,PRO,2021,75.0
177,Male,55-65,Norway,,REDUCTION,2021-12-01,BASIC,2021,43.0
177,Male,55-65,Norway,,CHURN,2022-10-01,BASIC,2022,53.0
178,Other,25-34,Sweden,facebook,INITIAL,2021-10-01,BASIC,2021,43.0
178,Other,25-34,Sweden,facebook,UPGRADE,2022-05-01,MAX,2022,119.0
179,Female,55-65,Sweden,Bing,INITIAL,2020-12-01,BASIC,2020,33.0
180,Other,55-65,Sweden,Organic Search,INITIAL,2022-02-01,BASIC,2022,53.0
181,Other,25-34,Finland,,INITIAL,2021-12-01,MAX,2021,109.0
